,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,605169.SH,20201231,25.7,26.0,25.2,25.26,26.14,-0.88,-3.3665,56324.2,143456.437
1,605169.SH,20201230,25.06,26.19,25.06,26.14,25.8,0.34,1.3178,54461.66,139529.655
2,605169.SH,20201229,27.3,27.3,24.86,25.8,27.35,-1.55,-5.6673,77517.8,199316.414
3,605169.SH,20201228,27.96,28.1,26.55,27.35,27.0,0.35,1.2963,76116.5,207687.961
4,605169.SH,20201225,26.28,27.98,26.2,27.0,26.8,0.2,0.7463,91853.29,251005.627
5,605169.SH,20201224,25.03,26.95,25.03,26.8,25.32,1.48,5.8452,83509.37,219551.421
6,605169.SH,20201223,25.05,25.86,24.78,25.32,25.44,-0.12,-0.4717,45984.94,116080.661
7,605169.SH,20201222,26.6,26.9,25.4,25.44,26.55,-1.11,-4.1808,50459.84,132160.099
8,605169.SH,20201221,26.35,27.21,26.08,26.55,26.89,-0.34,-1.2644,48138.53,127959.356
9,605169.SH,20201218,25.92,27.5,25.8,26.89,25.55,1.34,5.2446,77692.8,207861.749
10,605169.SH,20201217,25.0,25.77,24.82,25.55,25.23,0.32,1.2683,36237.57,92224.298
11,605169.SH,20201216,26.0,26.18,24.98,25.23,26.18,-0.95,-3.6287,45079.67,114352.962
12,605169.SH,20201215,27.1,27.23,26.0,26.18,27.27,-1.09,-3.9971,48103.43,126515.862
13,605169.SH,20201214,27.1,27.59,27.08,27.27,27.04,0.23,0.8506,31203.33,85099.636
14,605169.SH,20201211,27.7,28.15,26.88,27.04,27.87,-0.83,-2.9781,50168.65,136515.446
15,605169.SH,20201210,28.31,28.49,27.52,27.87,28.82,-0.95,-3.2963,65496.16,182735.313
16,605169.SH,20201209,28.2,29.29,28.15,28.82,28.26,0.56,1.9816,66595.89,191725.312
17,605169.SH,20201208,28.89,28.97,28.16,28.26,29.23,-0.97,-3.3185,56826.78,161548.689
18,605169.SH,20201207,29.59,30.29,28.2,29.23,29.6,-0.37,-1.25,96575.9,279737.735
19,605169.SH,20201204,29.35,30.63,29.08,29.6,30.1,-0.5,-1.6611,104201.69,309962.512
20,605169.SH,20201203,28.31,30.8,28.19,30.1,28.13,1.97,7.0032,130147.93,387084.167
21,605169.SH,20201202,28.4,28.57,27.89,28.13,28.3,-0.17,-0.6007,51871.09,145786.901
22,605169.SH,20201201,27.67,28.65,27.62,28.3,27.5,0.8,2.9091,54956.45,154687.596
23,605169.SH,20201130,27.66,28.27,27.5,27.5,27.98,-0.48,-1.7155,48560.68,135483.422
24,605169.SH,20201127,27.83,28.48,26.8,27.98,27.87,0.11,0.3947,61715.69,170511.67
25,605169.SH,20201126,28.22,28.63,27.52,27.87,28.7,-0.83,-2.892,64313.17,180151.578
26,605169.SH,20201125,30.8,31.15,28.66,28.7,30.79,-2.09,-6.7879,99901.17,297805.674
27,605169.SH,20201124,29.92,31.2,29.38,30.79,30.27,0.52,1.7179,109503.97,331644.298
28,605169.SH,20201123,30.78,32.97,30.1,30.27,30.6,-0.33,-1.0784,145396.71,455024.041
29,605169.SH,20201120,28.81,32.2,28.66,30.6,29.27,1.33,4.5439,140260.34,423563.485
30,605169.SH,20201119,28.26,29.64,28.26,29.27,28.5,0.77,2.7018,95878.58,278572.036
31,605169.SH,20201118,28.22,28.93,28.0,28.5,28.2,0.3,1.0638,65317.25,186391.066
32,605169.SH,20201117,29.01,29.2,28.1,28.2,29.44,-1.24,-4.212,73406.89,210171.786
33,605169.SH,20201116,27.61,29.6,27.59,29.44,27.71,1.73,6.2432,101243.14,291338.015
34,605169.SH,20201113,28.45,28.46,27.01,27.71,29.1,-1.39,-4.7766,83992.34,233115.52
35,605169.SH,20201112,29.5,30.2,28.56,29.1,30.58,-1.48,-4.8398,130026.64,381450.604
36,605169.SH,20201111,27.89,30.58,27.2,30.58,27.8,2.78,10.0,186300.9,550586.318
37,605169.SH,20201110,27.34,28.66,26.8,27.8,27.16,0.64,2.3564,116302.1,321164.486
38,605169.SH,20201109,26.1,27.66,25.8,27.16,25.88,1.28,4.9459,108545.89,289026.792
39,605169.SH,20201106,26.18,26.51,25.5,25.88,26.15,-0.27,-1.0325,70910.65,183904.341
40,605169.SH,20201105,26.07,26.67,25.8,26.15,26.42,-0.27,-1.022,82110.34,214651.199
41,605169.SH,20201104,25.22,27.9,24.69,26.42,25.6,0.82,3.2031,116335.57,300756.536
42,605169.SH,20201103,24.46,26.7,24.45,25.6,27.09,-1.49,-5.5002,135329.41,344751.881
43,605169.SH,20201102,27.09,28.14,27.09,27.09,30.1,-3.01,-10.0,39150.82,106613.988
44,605169.SH,20201030,26.66,32.0,26.66,30.1,22.22,7.88,35.4635,177828.9,541569.602
