,ts_code,symbol,name,area,industry,fullname,market,list_date,delist_date
2888,600422.SH,600422,昆药集团,云南,中成药,昆药集团股份有限公司,主板,20001206,
2889,600423.SH,600423,柳化股份,广西,农药化肥,柳州化工股份有限公司,主板,20030717,
2890,600425.SH,600425,青松建化,新疆,水泥,新疆青松建材化工(集团)股份有限公司,主板,20030724,
2891,600426.SH,600426,华鲁恒升,山东,农药化肥,山东华鲁恒升化工股份有限公司,主板,20020620,
2892,600428.SH,600428,中远海特,广东,水运,中远海运特种运输股份有限公司,主板,20020418,
2893,600429.SH,600429,三元股份,北京,乳制品,北京三元食品股份有限公司,主板,20030915,
2894,600433.SH,600433,冠豪高新,广东,造纸,广东冠豪高新技术股份有限公司,主板,20030619,
2895,600435.SH,600435,北方导航,北京,专用机械,北方导航控制技术股份有限公司,主板,20030704,
2896,600436.SH,600436,片仔癀,福建,中成药,漳州片仔癀药业股份有限公司,主板,20030616,
2897,600438.SH,600438,通威股份,四川,电气设备,通威股份有限公司,主板,20040302,
2898,600439.SH,600439,瑞贝卡,河南,服饰,河南瑞贝卡发制品股份有限公司,主板,20030710,
2899,600444.SH,600444,国机通用,安徽,专用机械,国机通用机械科技股份有限公司,主板,20040219,
2900,600446.SH,600446,金证股份,深圳,软件服务,深圳市金证科技股份有限公司,主板,20031224,
2901,600448.SH,600448,华纺股份,山东,纺织,华纺股份有限公司,主板,20010903,
2902,600449.SH,600449,宁夏建材,宁夏,水泥,宁夏建材集团股份有限公司,主板,20030829,
2903,600452.SH,600452,涪陵电力,重庆,水力发电,重庆涪陵电力实业股份有限公司,主板,20040303,
2904,600455.SH,600455,博通股份,陕西,文教休闲,西安博通资讯股份有限公司,主板,20040329,
2905,600456.SH,600456,宝钛股份,陕西,小金属,宝鸡钛业股份有限公司,主板,20020412,
2906,600458.SH,600458,时代新材,湖南,塑料,株洲时代新材料科技股份有限公司,主板,20021219,
2907,600459.SH,600459,贵研铂业,云南,小金属,贵研铂业股份有限公司,主板,20030516,
2908,600460.SH,600460,士兰微,浙江,半导体,杭州士兰微电子股份有限公司,主板,20030311,
2909,600461.SH,600461,洪城环境,江西,水务,江西洪城环境股份有限公司,主板,20040601,
2910,600462.SH,600462,ST九有,湖北,广告包装,湖北九有投资股份有限公司,主板,20030903,
2911,600463.SH,600463,空港股份,北京,园区开发,北京空港科技园区股份有限公司,主板,20040318,
2912,600466.SH,600466,蓝光发展,四川,区域地产,四川蓝光发展股份有限公司,主板,20010212,
2913,600467.SH,600467,好当家,山东,渔业,山东好当家海洋发展股份有限公司,主板,20040405,
2914,600468.SH,600468,百利电气,天津,电气设备,天津百利特精电气股份有限公司,主板,20010615,
2915,600469.SH,600469,风神股份,河南,汽车配件,风神轮胎股份有限公司,主板,20031021,
2916,600470.SH,600470,六国化工,安徽,农药化肥,安徽六国化工股份有限公司,主板,20040305,
2917,600475.SH,600475,华光环能,江苏,环境保护,无锡华光环保能源集团股份有限公司,主板,20030721,
2918,600476.SH,600476,湘邮科技,湖南,软件服务,湖南湘邮科技股份有限公司,主板,20031210,
2919,600477.SH,600477,杭萧钢构,浙江,钢加工,杭萧钢构股份有限公司,主板,20031110,
2920,600478.SH,600478,科力远,湖南,元器件,湖南科力远新能源股份有限公司,主板,20030918,
2921,600479.SH,600479,千金药业,湖南,中成药,株洲千金药业股份有限公司,主板,20040312,
2922,600480.SH,600480,凌云股份,河北,汽车配件,凌云工业股份有限公司,主板,20030815,
2923,600481.SH,600481,双良节能,江苏,机械基件,双良节能系统股份有限公司,主板,20030422,
2924,600482.SH,600482,中国动力,河北,船舶,中国船舶重工集团动力股份有限公司,主板,20040714,
2925,600483.SH,600483,福能股份,福建,火力发电,福建福能股份有限公司,主板,20040531,
2926,600486.SH,600486,扬农化工,江苏,农药化肥,江苏扬农化工股份有限公司,主板,20020425,
2927,600487.SH,600487,亨通光电,江苏,通信设备,江苏亨通光电股份有限公司,主板,20030822,
2928,600488.SH,600488,天药股份,天津,化学制药,天津天药药业股份有限公司,主板,20010618,
2929,600489.SH,600489,中金黄金,北京,黄金,中金黄金股份有限公司,主板,20030814,
2930,600490.SH,600490,鹏欣资源,上海,铜,鹏欣环球资源股份有限公司,主板,20030626,
2931,600491.SH,600491,龙元建设,浙江,建筑工程,龙元建设集团股份有限公司,主板,20040524,
2932,600493.SH,600493,凤竹纺织,福建,纺织,福建凤竹纺织科技股份有限公司,主板,20040421,
2933,600495.SH,600495,晋西车轴,山西,运输设备,晋西车轴股份有限公司,主板,20040526,
2934,600496.SH,600496,精工钢构,安徽,钢加工,长江精工钢结构(集团)股份有限公司,主板,20020605,
2935,600497.SH,600497,驰宏锌锗,云南,铅锌,云南驰宏锌锗股份有限公司,主板,20040420,
2936,600498.SH,600498,烽火通信,湖北,通信设备,烽火通信科技股份有限公司,主板,20010823,
2937,600499.SH,600499,科达制造,广东,专用机械,科达制造股份有限公司,主板,20021010,
2938,600500.SH,600500,中化国际,上海,塑料,中化国际(控股)股份有限公司,主板,20000301,
2939,600501.SH,600501,航天晨光,江苏,汽车配件,航天晨光股份有限公司,主板,20010615,
2940,600502.SH,600502,安徽建工,安徽,建筑工程,安徽建工集团股份有限公司,主板,20030415,
2941,600503.SH,600503,华丽家族,上海,区域地产,华丽家族股份有限公司,主板,20020709,
2942,600505.SH,600505,西昌电力,四川,水力发电,四川西昌电力股份有限公司,主板,20020530,
2943,600506.SH,600506,*ST香梨,新疆,种植业,新疆库尔勒香梨股份有限公司,主板,20011226,
2944,600507.SH,600507,方大特钢,江西,特种钢,方大特钢科技股份有限公司,主板,20030930,
2945,600508.SH,600508,上海能源,上海,煤炭开采,上海大屯能源股份有限公司,主板,20010829,
2946,600509.SH,600509,天富能源,新疆,火力发电,新疆天富能源股份有限公司,主板,20020228,
2947,600510.SH,600510,黑牡丹,江苏,全国地产,黑牡丹(集团)股份有限公司,主板,20020618,
2948,600511.SH,600511,国药股份,北京,医药商业,国药集团药业股份有限公司,主板,20021127,
2949,600512.SH,600512,腾达建设,浙江,建筑工程,腾达建设集团股份有限公司,主板,20021226,
2950,600513.SH,600513,联环药业,江苏,化学制药,江苏联环药业股份有限公司,主板,20030319,
2951,600515.SH,600515,*ST基础,海南,全国地产,海航基础设施投资集团股份有限公司,主板,20020806,
2952,600516.SH,600516,方大炭素,甘肃,矿物制品,方大炭素新材料科技股份有限公司,主板,20020830,
2953,600517.SH,600517,国网英大,上海,多元金融,国网英大股份有限公司,主板,20031010,
2954,600518.SH,600518,*ST康美,广东,中成药,康美药业股份有限公司,主板,20010319,
2955,600519.SH,600519,贵州茅台,贵州,白酒,贵州茅台酒股份有限公司,主板,20010827,
2956,600520.SH,600520,文一科技,安徽,机械基件,文一三佳科技股份有限公司,主板,20020108,
2957,600521.SH,600521,华海药业,浙江,化学制药,浙江华海药业股份有限公司,主板,20030304,
2958,600522.SH,600522,中天科技,江苏,通信设备,江苏中天科技股份有限公司,主板,20021024,
2959,600523.SH,600523,贵航股份,贵州,汽车配件,贵州贵航汽车零部件股份有限公司,主板,20011227,
2960,600525.SH,600525,长园集团,深圳,电气设备,长园科技集团股份有限公司,主板,20021202,
2961,600526.SH,600526,菲达环保,浙江,环境保护,浙江菲达环保科技股份有限公司,主板,20020722,
2962,600527.SH,600527,江南高纤,江苏,化纤,江苏江南高纤股份有限公司,主板,20031127,
2963,600528.SH,600528,中铁工业,北京,运输设备,中铁高新工业股份有限公司,主板,20010528,
2964,600529.SH,600529,山东药玻,山东,医疗保健,山东省药用玻璃股份有限公司,主板,20020603,
2965,600530.SH,600530,交大昂立,上海,医疗保健,上海交大昂立股份有限公司,主板,20010702,
2966,600531.SH,600531,豫光金铅,河南,铅锌,河南豫光金铅股份有限公司,主板,20020730,
2967,600532.SH,600532,未来股份,上海,医疗保健,上海智汇未来医疗服务股份有限公司,主板,20021031,
2968,600533.SH,600533,栖霞建设,江苏,区域地产,南京栖霞建设股份有限公司,主板,20020328,
